Code Insee,Code postal,latitude,longitude,nom commune,département,région,population 2015,population 2021
01158,01550,46.166230455,5.90019477201,Farges,Ain,Auvergne-Rhône-Alpes,999.0,1058.0
01159,01570,46.3365833672,4.88507050971,Feillens,Ain,Auvergne-Rhône-Alpes,3249.0,3381.0
01160,01210,46.2519789243,6.10826403805,Ferney-Voltaire,Ain,Auvergne-Rhône-Alpes,9482.0,10920.0
01162,01350,45.8113298005,5.74459048839,Flaxieu,Ain,Auvergne-Rhône-Alpes,67.0,64.0
01163,01340,46.3784759782,5.18483641417,Foissiat,Ain,Auvergne-Rhône-Alpes,2052.0,2014.0
01165,01090,46.0735946256,4.81293575559,Francheleins,Ain,Auvergne-Rhône-Alpes,1548.0,1585.0
01165,01090,46.0735946256,4.81293575559,Francheleins,Ain,Auvergne-Rhône-Alpes,1548.0,1585.0
01165,01090,46.0735946256,4.81293575559,Francheleins,Ain,Auvergne-Rhône-Alpes,1548.0,1585.0
01166,01480,45.9939065077,4.78033196905,Frans,Ain,Auvergne-Rhône-Alpes,2265.0,2482.0
01167,01140,46.2136224825,4.82843188743,Garnerans,Ain,Auvergne-Rhône-Alpes,662.0,658.0
01169,01090,46.1201611728,4.79288195016,Genouilleux,Ain,Auvergne-Rhône-Alpes,590.0,650.0
01170,01460,46.1896733539,5.55139781353,Béard-Géovreissiat,Ain,Auvergne-Rhône-Alpes,1026.0,1048.0
01171,01100,46.2508621615,5.61271973915,Géovreisset,Ain,Auvergne-Rhône-Alpes,909.0,835.0
01173,01170,46.3471891747,6.04650555568,Gex,Ain,Auvergne-Rhône-Alpes,11687.0,13078.0
01174,01130,46.2227121191,5.78049809256,Giron,Ain,Auvergne-Rhône-Alpes,179.0,176.0
01175,01190,46.414943437,4.95120595427,Gorrevod,Ain,Auvergne-Rhône-Alpes,854.0,786.0
01177,01250,46.207387937,5.43318666027,Grand-Corent,Ain,Auvergne-Rhône-Alpes,177.0,184.0
01179,01290,46.2633634407,4.84621318847,Grièges,Ain,Auvergne-Rhône-Alpes,1891.0,1901.0
01180,01220,46.3318810665,6.11366767978,Grilly,Ain,Auvergne-Rhône-Alpes,792.0,864.0
01181,01100,46.2260039429,5.61095413441,Groissiat,Ain,Auvergne-Rhône-Alpes,1213.0,1230.0
01183,01090,46.106624674,4.78159420118,Guéreins,Ain,Auvergne-Rhône-Alpes,1429.0,1495.0
01184,01250,46.1611241927,5.42944457639,Hautecourt-Romanèche,Ain,Auvergne-Rhône-Alpes,792.0,758.0
01184,01250,46.1611241927,5.42944457639,Hautecourt-Romanèche,Ain,Auvergne-Rhône-Alpes,792.0,758.0
01185,01110,45.9696520061,5.57627261783,Hauteville-Lompnes,Ain,Auvergne-Rhône-Alpes,3739.0,4807.0
01187,01260,46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes,693.0,609.0
01187,01260,46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes,693.0,609.0
01187,01260,46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes,693.0,609.0
01187,01260,46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes,693.0,609.0
01188,01140,46.1866986838,4.88840344003,Illiat,Ain,Auvergne-Rhône-Alpes,610.0,689.0
01189,01200,46.0497734524,5.75991363273,Injoux-Génissiat,Ain,Auvergne-Rhône-Alpes,1144.0,1123.0
01189,01200,46.0497734524,5.75991363273,Injoux-Génissiat,Ain,Auvergne-Rhône-Alpes,1144.0,1123.0
01190,01680,45.7919647191,5.57389398559,Innimond,Ain,Auvergne-Rhône-Alpes,106.0,89.0
01191,01430,46.0381623415,5.52447901164,Izenave,Ain,Auvergne-Rhône-Alpes,168.0,155.0
